"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
1.51882284047181e-49,2.19567863109626,0.95,0.333,2.96975429997452e-45,"RPL23P8","Up in Neurons"
2.16482596597831e-49,-5.99681576198343,0.008,0.71,4.2328842112774e-45,"PLSCR4","Up in Astrocytes"
3.01820245571235e-49,-5.98334749451631,0.067,0.913,5.90149126165436e-45,"MEGF10","Up in Astrocytes"
3.82568871131085e-49,-8.26141999567836,0.151,1,7.48036913722611e-45,"CLU","Up in Astrocytes"
1.1091609323514e-47,-5.59886292033972,0,0.739,2.16874237102669e-43,"CYP2J2","Up in Astrocytes"
2.0517362039952e-47,-8.46445010657661,0.076,1,4.01175979967182e-43,"SPARCL1","Up in Astrocytes"
8.89860221718287e-47,-5.66709309262688,0.008,0.725,1.73994369152577e-42,"CHST9-AS1","Up in Astrocytes"
8.93107959868274e-47,-6.60442062092974,0.017,0.652,1.74629399393044e-42,"DDX3Y","Up in Astrocytes"
1.48742627707523e-46,-3.89180221252215,0.034,0.841,2.90836459956519e-42,"LGI4","Up in Astrocytes"
1.90314692167481e-46,-6.63576990732592,0.008,0.986,3.72122317595075e-42,"GPR37L1","Up in Astrocytes"
1.08625464545447e-45,-5.58132433407009,0,0.725,2.12395370825712e-41,"MYBPC1","Up in Astrocytes"
1.13283533823439e-45,-5.78120368281812,0.017,0.725,2.2150329368497e-41,"TLR4","Up in Astrocytes"
1.878204636734e-45,-5.13708658590143,0.025,0.783,3.67245352620599e-41,"AHNAK","Up in Astrocytes"
1.97685201804646e-45,-6.48372870889564,0.025,0.855,3.86533875088625e-41,"PMP22","Up in Astrocytes"
2.17210647788432e-45,-5.87917557176903,0.025,0.681,4.24711979620721e-41,"USP9Y","Up in Astrocytes"
2.45028746699558e-45,-5.9753756236717,0.017,0.565,4.79104708421645e-41,"CHI3L1","Up in Astrocytes"
2.73233597112521e-45,-5.14220699732377,0.008,0.449,5.34253652434113e-41,"FIBIN","Up in Astrocytes"
6.36635528346957e-45,-5.85632466011431,0.328,1,1.2448134485768e-40,"GPR98","Up in Astrocytes"
8.78335200405552e-45,-5.47427331168355,0.017,0.536,1.71740881735298e-40,"RNF144B","Up in Astrocytes"
2.11515143752082e-44,5.97747064904188,1,0.232,4.13575560578445e-40,"DCX","Up in Neurons"
4.34377029850142e-44,-6.28346639852818,0.042,0.623,8.49337406465983e-40,"FAS","Up in Astrocytes"
5.10082013244779e-44,5.67932050478241,0.697,0.174,9.97363360497515e-40,"BACH2","Up in Neurons"
9.55315480071478e-44,-5.77495736336821,0.008,0.696,1.86792835818376e-39,"CYBRD1","Up in Astrocytes"
1.781988331717e-43,-5.22392211792008,0.008,0.768,3.48432178500626e-39,"BDH2","Up in Astrocytes"
2.5988636384727e-43,-5.76539438623431,0.008,0.71,5.08155807230566e-39,"ALDH1L1","Up in Astrocytes"
1.76237753361064e-42,-5.40435537133795,0.025,0.855,3.44597679146889e-38,"HEPACAM","Up in Astrocytes"
4.97707895744101e-42,-5.20331884627846,0.008,0.71,9.7316824854844e-38,"UTY","Up in Astrocytes"
7.18192337982726e-42,4.62278875758824,0.487,0.014,1.40428147845762e-37,"GJC1","Up in Neurons"
7.5282455415419e-42,-4.83729051782892,0.042,0.942,1.47199785073769e-37,"MLC1","Up in Astrocytes"
9.25376701350262e-42,4.25444272095545,1,0.696,1.80938906415017e-37,"STMN1","Up in Neurons"
1.1764389613754e-41,-5.84064865899948,0.042,0.899,2.30029110117732e-37,"PER3","Up in Astrocytes"
1.40531426420721e-41,-5.39396049209699,0.034,0.971,2.74781098080436e-37,"MT3","Up in Astrocytes"
6.08279280682444e-41,2.64885172635872,0.706,0,1.18936847751838e-36,"NEUROD2","Up in Neurons"
7.70581778627817e-41,5.28989377633061,0.916,0.13,1.50671855175097e-36,"NNAT","Up in Neurons"
1.47129886916341e-40,5.70847721555352,0.983,0.275,2.87683067887522e-36,"STMN2","Up in Neurons"
2.02553200620644e-40,5.20338650260618,0.639,0.058,3.96052273173545e-36,"ADRA2A","Up in Neurons"
2.31707688713191e-40,-4.45128125789807,0.008,0.435,4.53058043740903e-36,"HLF","Up in Astrocytes"
2.68898175694531e-40,-5.9593807147037,0.034,0.913,5.25776602935517e-36,"MGST1","Up in Astrocytes"
5.82280645409532e-40,-5.62473698543998,0.05,0.957,1.13853334596926e-35,"SFXN5","Up in Astrocytes"
7.76866001795997e-40,-5.77739913798009,0,0.681,1.51900609331171e-35,"HSD17B6","Up in Astrocytes"
2.57196315905886e-39,-5.2966907180197,0.008,0.71,5.0289595649078e-35,"BBOX1","Up in Astrocytes"
1.1440783603331e-38,-5.51524294883531,0.042,0.797,2.23701641795932e-34,"SERPINB9","Up in Astrocytes"
5.63145527612353e-38,-5.89326999918605,0.034,0.725,1.10111845014043e-33,"PLTP","Up in Astrocytes"
7.03853556703009e-38,-5.80585461911307,0.008,0.638,1.37624485942139e-33,"HHATL","Up in Astrocytes"
